name,street,city,postal,province,full_address,X,Y,date,link
2251 Lawrence Ave East - Shoppers Drug Mart,2251 Lawrence Avenue East,"Scarborough , ON",M1P 2P5,Ontario,"2251 Lawrence Avenue East Scarborough , ON M1P 2P5",43.7487442,-79.2763879,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2490 Gerrard St. East - Sobeys,2490 Gerrard St. East,"Scarborough, ON",M1N 1W8,Ontario,"2490 Gerrard St. East Scarborough, ON M1N 1W8",43.687874,-79.285347,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2650 Lawrence Avenue E - Sobeys,2650 Lawrence Avenue E,"Scarborough, ON",M1P 2S1,Ontario,"2650 Lawrence Avenue E Scarborough, ON M1P 2S1",43.752733,-79.264041,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1900 Eglinton Ave East - Walmart,1900 Eglinton Avenue East,"Scarborough , ON",M1L 2L9,Ontario,"1900 Eglinton Avenue East Scarborough , ON M1L 2L9",43.7283577,-79.2955271,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3850 Sheppard Avenue East - Walmart,3850 Sheppard Avenue East,"Scarborough , ON",M1T 3L4,Ontario,"3850 Sheppard Avenue East Scarborough , ON M1T 3L4",43.7841871,-79.2921506,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5995 Steeles Avenue East - Walmart,5995 Steeles Avenue East,"Scarborough , ON",M1V 5P6,Ontario,"5995 Steeles Avenue East Scarborough , ON M1V 5P6",43.8333939,-79.2553806,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Birchmount Pharmasave,462 Birchmount Road,"Scarborough, ON",M1K 1N8,Ontario,"462 Birchmount Road Scarborough, ON M1K 1N8",43.7069465,-79.2687238,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Orton Park Guardian Pharmacy,136 Orton Park Road,"Scarborough, ON",M1G 3H1,Ontario,"136 Orton Park Road Scarborough, ON M1G 3H1",43.7716344,-79.2092939,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Pharmasave Cedarcourt Pharmacy,3480 Lawrence Avenue East,"Scarborough, ON",M1H 1A9,Ontario,"3480 Lawrence Avenue East Scarborough, ON M1H 1A9",43.7597868,-79.2270078,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Lawrence Pharmacy,2683 Lawrence Ave E,"Scarborough, ON",M1P 2S2,Ontario,"2683 Lawrence Ave E Scarborough, ON M1P 2S2",43.7517056,-79.2615008,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
