,DBUID,DBPOP,DAUID,DAPOP,CSDUID,CSDNAME,CSDTYPE,CSDPOP,CMAUID,CMAPUID,CMANAME,CMATYPE,CMAPOP,PRUID,PRNAME,PRPOP,lon,lat,in_db_emp,prox_idx_emp,in_db_pharma,prox_idx_pharma,in_db_childcare,prox_idx_childcare,in_db_health,prox_idx_health,in_db_grocery,prox_idx_grocery,in_db_educpri,prox_idx_educpri,in_db_educsec,prox_idx_educsec,in_db_lib,prox_idx_lib,in_db_parks,prox_idx_parks,in_db_transit,prox_idx_transit,transit_na,amenity_dense,suppressed
187414,35200644002,113,35200644,478,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2816,43.6875,1,0.0685,0,0.017,0,0.0823,1,0.0136,0,0.0383,0,0.1333,0,,0,0.0473,0,0.0133,1,0.0133,0,1,0
187415,35200644003,148,35200644,478,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2851,43.6868,1,0.0829,0,0.0582,0,0.1825,0,0.0173,0,0.0809,0,0.2822,0,0.1283,0,0.0476,0,0.0356,0,0.047,0,1,0
187416,35200644004,140,35200644,478,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2848,43.6859,1,0.0775,0,0.0643,0,0.205,0,0.0171,0,0.0795,0,0.2839,0,0.1403,0,0.0508,0,0.0254,0,0.0467,0,1,0
187417,35200645001,474,35200645,474,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2811,43.6869,1,0.07,0,0.0182,0,0.0913,1,0.0137,0,0.0399,0,0.1366,0,,0,0.0497,0,0.0149,1,0.0158,0,1,0
187418,35200646001,121,35200646,435,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2842,43.6848,1,0.0807,0,0.053,1,0.2172,1,0.0179,0,0.0688,1,0.5422,0,0.1484,0,0.0504,0,0.0145,1,0.0504,0,1,0
187419,35200646002,155,35200646,435,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2838,43.6837,1,0.0802,0,0.0536,0,0.1731,0,0.0189,0,0.0685,0,0.3249,0,0.1591,0,0.0486,0,0.027,1,0.0492,0,1,0
187420,35200646003,159,35200646,435,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2835,43.683,1,0.0772,0,0.0562,1,0.2223,0,0.0189,0,0.0422,0,0.2797,0,0.1738,0,0.0516,0,0.0308,0,0.0532,0,1,0
187421,35200647001,51,35200647,458,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.281,43.6848,1,0.0731,0,0.0375,0,0.1576,0,0.0161,0,0.0643,0,0.2521,0,0.1252,0,0.0607,0,0.0447,0,0.0342,0,1,0
187422,35200647002,112,35200647,458,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.282,43.6841,1,0.0761,0,0.0377,0,0.1788,1,0.0167,0,0.0617,0,0.3571,0,0.1373,0,0.0532,0,0.0399,0,0.039,0,1,0
187423,35200647003,295,35200647,458,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2806,43.6829,1,0.0717,0,0.0291,0,0.1344,1,0.0173,1,0.1185,0,0.2278,0,0.1287,0,0.0745,1,0.1176,1,0.037,0,1,0
187424,35200648001,170,35200648,512,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2832,43.6822,1,0.0804,0,0.0622,0,0.1707,0,0.0198,0,0.0483,0,0.2809,0,0.1933,0,0.0553,0,0.0356,0,0.065,0,1,0
187425,35200648002,342,35200648,512,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2829,43.6815,1,0.0849,0,0.0661,0,0.1708,1,0.0217,0,0.0488,0,0.3155,0,0.2189,0,0.0618,0,0.037,1,0.0741,0,1,0
187426,35200649001,163,35200649,530,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2851,43.682,1,0.0895,0,0.072,0,0.2183,1,0.0236,0,0.0612,0,0.3225,0,0.2035,0,,0,0.0145,1,0.0871,0,0,0
